Date,Weight,BMI,Body Fat,Body Water,Muscle Mass,BMR,Metabolic Age
2026-05-28,153.6lb,24.1,16.1%,60.5%,122.3lb,1698kcal,22
2026-05-28,153.6lb,24.1,16.1%,60.5%,122.3lb,1698kcal,22
2026-05-28,155.5lb,24.4,16.5%,60.2%,123.1lb,1709kcal,22
2026-05-20,154.6lb,24.3,16.4%,60.3%,122.6lb,1704kcal,22
2026-05-20,154.6lb,24.3,16.4%,60.3%,122.6lb,1704kcal,22
2026-05-20,157.1lb,24.7,17.0%,59.8%,123.7lb,1719kcal,23
2026-05-13,155.0lb,24.3,16.4%,60.3%,123.0lb,1706kcal,22
2026-05-07,155.4lb,24.4,16.5%,60.2%,123.0lb,1709kcal,22
2026-04-29,153.8lb,24.1,16.1%,60.5%,122.5lb,1699kcal,22
2026-04-23,157.8lb,24.8,17.1%,59.7%,124.0lb,1723kcal,23
2026-04-15,152.8lb,24.0,15.9%,60.6%,121.9lb,1693kcal,22
2026-04-08,155.4lb,24.4,16.5%,60.2%,123.0lb,1709kcal,22
2026-04-01,153.3lb,24.1,16.1%,60.5%,122.0lb,1696kcal,22
2026-04-01,153.4lb,24.1,16.1%,60.5%,122.1lb,1696kcal,22
2026-03-26,152.4lb,23.9,15.7%,60.7%,121.8lb,1690kcal,22
2026-03-18,151.0lb,23.7,15.4%,60.9%,121.1lb,1682kcal,22
