Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Notes,RPE
2026-03-16,Chest & Biceps🃏,1h 24m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-16,Chest & Biceps🃏,1h 24m,Single Arm Preacher Curl (Machine),F,70.0,9.0,,10.0
2026-03-16,Chest & Biceps🃏,1h 24m,Single Arm Preacher Curl (Machine),F,72.5,4.0,,10.0
2026-03-16,Chest & Biceps🃏,1h 24m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-03-16,Chest & Biceps🃏,1h 24m,Incline Bench Press (Smith Machine),W,70.0,8.0,,
2026-03-16,Chest & Biceps🃏,1h 24m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-03-16,Chest & Biceps🃏,1h 24m,Incline Bench Press (Smith Machine),F,160.0,6.0,,10.0
2026-03-16,Chest & Biceps🃏,1h 24m,Incline Bench Press (Smith Machine),F,150.0,5.0,,10.0
2026-03-16,Chest & Biceps🃏,1h 24m,Arsenal Strength Chest Fly (Machine),F,250.0,8.0,"2x8-10(F), 3 mins",10.0
2026-03-16,Chest & Biceps🃏,1h 24m,Arsenal Strength Chest Fly (Machine),F,200.0,8.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
2026-03-17,Back & Triceps✝️,1h 6m,Lat Pulldown - Wide Grip (Cable),F,160.0,8.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Lat Pulldown - Wide Grip (Cable),F,165.0,3.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-17,Back & Triceps✝️,1h 6m,Single Arm Tricep Extension (Cable),F,35.0,4.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Single Arm Tricep Extension (Cable),F,30.0,7.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Arsenal Strength Reload T Row,W,50.0,8.0,"2x6-8(F), 4 mins",
2026-03-17,Back & Triceps✝️,1h 6m,Arsenal Strength Reload T Row,F,110.0,7.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Arsenal Strength Reload T Row,F,100.0,6.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Tricep Press (Machine),F,205.0,8.0,"2x6-8(F), 3 mins",10.0
2026-03-17,Back & Triceps✝️,1h 6m,Tricep Press (Machine),F,220.0,4.0,,10.0
2026-03-17,Back & Triceps✝️,1h 6m,Arsenal Strength Reloaded Iso Multi Row,F,155.0,8.0,1x6-8(F),10.0
2026-03-18,Legs 🐓 ,1h 18m,Romanian Deadlift (Barbell),W,95.0,10.0,1x6-8(F),
2026-03-18,Legs 🐓 ,1h 18m,Romanian Deadlift (Barbell),W,135.0,8.0,,
2026-03-18,Legs 🐓 ,1h 18m,Romanian Deadlift (Barbell),F,225.0,9.0,,10.0
2026-03-18,Legs 🐓 ,1h 18m,Pendulum Squat (Machine),W,110.0,10.0,"1x6-8(F), 4 mins",
2026-03-18,Legs 🐓 ,1h 18m,Pendulum Squat (Machine),W,160.0,6.0,,
2026-03-18,Legs 🐓 ,1h 18m,Pendulum Squat (Machine),F,210.0,7.0,,10.0
2026-03-18,Legs 🐓 ,1h 18m,Hip Adductor (Machine),F,95.0,7.0,1x8-10(F),10.0
2026-03-18,Legs 🐓 ,1h 18m,Standing Calf Raise (Machine),F,280.0,9.0,"2x8-10(F), 3 mins",10.0
2026-03-18,Legs 🐓 ,1h 18m,Standing Calf Raise (Machine),F,270.0,6.0,,10.0
2026-03-18,Legs 🐓 ,1h 18m,Single-Leg Leg Extension (Machine),F,105.0,8.0,"2x6-8(F), 3 mins",10.0
2026-03-18,Legs 🐓 ,1h 18m,Single-Leg Leg Extension (Machine),F,110.0,4.0,,10.0
2026-03-19,Shoulders🪨,40m,Cable Crunch,F,65.0,10.0,"3x8-10, 3 mins",10.0
2026-03-19,Shoulders🪨,40m,Cable Crunch,F,70.0,6.0,,10.0
2026-03-19,Shoulders🪨,40m,Cable Crunch,F,70.0,5.0,,10.0
2026-03-19,Shoulders🪨,40m,Arsenal Strength Shoulder Press (Machine),W,18.0,10.0,"2x6-8(F), 3 mins",
2026-03-19,Shoulders🪨,40m,Arsenal Strength Shoulder Press (Machine),W,43.0,8.0,,
2026-03-19,Shoulders🪨,40m,Arsenal Strength Shoulder Press (Machine),F,108.0,5.0,,10.0
2026-03-19,Shoulders🪨,40m,Arsenal Strength Shoulder Press (Machine),F,88.0,9.0,,10.0
2026-03-19,Shoulders🪨,40m,Arsenal Strength Lateral Raise (Machine),F,60.0,11.0,"2x8-10(F), 3 mins",10.0
2026-03-19,Shoulders🪨,40m,Arsenal Strength Lateral Raise (Machine),F,70.0,8.0,,10.0
2026-03-19,Shoulders🪨,40m,Rear Delt Fly (Cable),F,20.0,9.0,"2x8-10(F), 3 mins",10.0
2026-03-21,Chest & Biceps🃏,51m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-21,Chest & Biceps🃏,51m,Single Arm Preacher Curl (Machine),F,72.5,7.0,,10.0
2026-03-21,Chest & Biceps🃏,51m,Single Arm Preacher Curl (Machine),F,65.0,7.0,,10.0
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),W,70.0,8.0,,
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),F,160.0,7.0,,10.0
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),F,150.0,6.0,,10.0
